Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9013423,"RAC3 GTPase cycle",31,100,0.0066207627118644065,1.2114155708009555E-5,0.001885640439974745,4,6,4.3497172683775554E-4,9606,Homo sapiens,"ITGB1;TRIO;PIK3R1;ARHGAP5;ARHGAP15;ARHGAP35;DOCK10;PREX1;ARHGAP21;ABR;PAK1;ARHGAP42;BAIAP2L1;PGRMC2;STBD1;NHS;ABL2;SRGAP2;WASF2;TMPO;ARAP3;BAIAP2;VAV2;TIAM1;ARHGAP32;ABI2;ABI1;RAPGEF1;CDC42EP1;DSG2;FERMT2","","R-HSA-9018808;R-HSA-9714691;R-HSA-9018804;R-HSA-9018806"
R-HSA-8935964,"RUNX1 regulates expression of components of tight junctions",8,8,5.296610169491525E-4,1.25709362664983E-5,0.001885640439974745,6,6,4.3497172683775554E-4,9606,Homo sapiens,"TJP1;CLDN5;OCLN;CBFB;RUNX1","","R-HSA-8935960;R-HSA-8935980;R-HSA-8936000;R-HSA-8935988;R-HSA-8935972;R-HSA-8936007"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",34,119,0.007878707627118644,2.435875833017853E-5,0.003249890170176073,5,5,3.6247643903146296E-4,9606,Homo sapiens,"RPL5;TRAM1;RPL30;RPL32;RPLP1;RPL12;RPN1;RPS14;RPL7A;SRP72;RPS3;SSR1;RPLP2;RPL13;SEC61B;RPL37;RPS10;RPL17;RPS8;SSR3;RPL22;RPS3A;SRP68;RPS26;SPCS2;SPCS1;RPL27A;SRPRA;RPL22L1;RPL26","","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-72613,"Eukaryotic Translation Initiation",36,130,0.008606991525423728,2.7082418084800608E-5,0.003249890170176073,21,21,0.0015224010439321444,9606,Homo sapiens,"RPL5;RPL30;RPL32;RPLP1;RPL12;RPS14;RPL7A;RPS3;EIF4EBP1;RPLP2;RPL13;RPL37;RPS10;RPL17;EIF4B;EIF2A;EIF2B5;EIF2B4;EIF5B;RPS8;RPL22;RPS3A;EIF2S2;RPS26;RPL27A;EIF3J;EIF3G;RPL22L1;RPL26;EIF3C;EIF3A;EIF4G2;EIF4G1","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72631;R-HSA-72663;R-HSA-156826;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72737,"Cap-dependent Translation Initiation",36,130,0.008606991525423728,2.7082418084800608E-5,0.003249890170176073,18,18,0.0013049151805132667,9606,Homo sapiens,"RPL5;RPL30;RPL32;RPLP1;RPL12;RPS14;RPL7A;RPS3;EIF4EBP1;RPLP2;RPL13;RPL37;RPS10;RPL17;EIF4B;EIF2A;EIF2B5;EIF2B4;EIF5B;RPS8;RPL22;RPS3A;EIF2S2;RPS26;RPL27A;EIF3J;EIF3G;RPL22L1;RPL26;EIF3C;EIF3A;EIF4G2;EIF4G1","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72631;R-HSA-72663;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-9013404,"RAC2 GTPase cycle",28,92,0.0060911016949152545,4.255296451627366E-5,0.004734872234206655,5,10,7.249528780629259E-4,9606,Homo sapiens,"ITGB1;TRIO;IQGAP1;PIK3R1;PLD1;IQGAP3;ARHGAP35;DOCK10;PREX1;ARHGAP21;ABR;PAK1;ARHGAP42;BAIAP2L1;PGRMC2;STBD1;NHS;WASF2;TMPO;VAV2;ARMCX3;TIAM1;ARHGAP32;ABI2;VAPB;CDC42EP4;ABI1;CDC42EP1;DSG2","","R-HSA-9014296;R-HSA-9714481;R-HSA-9714477;R-HSA-9014295;R-HSA-9014294"
R-HSA-9035034,"RHOF GTPase cycle",18,46,0.0030455508474576272,4.710947893704631E-5,0.004734872234206655,2,3,2.1748586341887777E-4,9606,Homo sapiens,"FARP1;ACTN1;MYO9B;PIK3R1;ADD3;ARHGAP5;ACTB;ARHGAP12;LMNB1;SENP1;AKAP12;SLC4A7;ARHGAP21;ARHGAP32;BAIAP2L2;BAIAP2L1;SRGAP2;TMPO","","R-HSA-9693282;R-HSA-9693125"
R-HSA-1500931,"Cell-Cell communication",36,134,0.008871822033898306,4.956981520753967E-5,0.004734872234206655,36,60,0.004349717268377556,9606,Homo sapiens,"ITGB1;PATJ;FBLIM1;ITGB4;CTNND1;PXN;ILK;IQGAP1;PIK3R1;IQGAP3;ACTB;CTNNA1;FLNA;FLNC;SPTAN1;SPTBN1;VASP;FYB1;JUP;ACTN1;CASK;KRT7;PARVA;ACTN4;MPP5;PTK2;CD2AP;CLDN10;CLDN5;SDK1;AFDN;PARD3;CDH11;ZYX;PTPN6;FERMT2;PLEC;NECTIN1","","R-HSA-430341;R-HSA-5692437;R-HSA-446083;R-HSA-419011;R-HSA-432897;R-HSA-432909;R-HSA-419981;R-HSA-430347;R-HSA-451403;R-HSA-446089;R-HSA-446364;R-HSA-373727;R-HSA-373722;R-HSA-420582;R-HSA-430308;R-HSA-420580;R-HSA-446372;R-HSA-451758;R-HSA-433711;R-HSA-391151;R-HSA-391150;R-HSA-420598;R-HSA-446391;R-HSA-391156;R-HSA-420661;R-HSA-446322;R-HSA-373745;R-HSA-420019;R-HSA-451377;R-HSA-432956;R-HSA-446077;R-HSA-433725;R-HSA-419002;R-HSA-419003;R-HSA-432952;R-HSA-419001"
R-HSA-446353,"Cell-extracellular matrix interactions",11,19,0.0012579449152542372,5.0370981214964416E-5,0.004734872234206655,8,10,7.249528780629259E-4,9606,Homo sapiens,"ITGB1;VASP;FBLIM1;ACTN1;PXN;ZYX;FLNA;ILK;PARVA;FLNC;FERMT2;ACTB","","R-HSA-446391;R-HSA-430308;R-HSA-446372;R-HSA-430341;R-HSA-446322;R-HSA-432897;R-HSA-446364;R-HSA-430347"
R-HSA-111465,"Apoptotic cleavage of cellular proteins",16,38,0.0025158898305084744,5.2648229791341095E-5,0.0047383406812206985,18,38,0.0027548209366391185,9606,Homo sapiens,"DSP;PTK2;ADD1;STK3;LMNB1;TJP1;OCLN;APC;LMNA;GAS2;ACIN1;DSG2;VIM;MAPT;SPTAN1;PLEC","","R-HSA-202947;R-HSA-351877;R-HSA-351876;R-HSA-201634;R-HSA-264871;R-HSA-201639;R-HSA-264865;R-HSA-201637;R-HSA-201636;R-HSA-350319;R-HSA-350318;R-HSA-201608;R-HSA-351913;R-HSA-202967;R-HSA-351901;R-HSA-201630;R-HSA-201629;R-HSA-201628"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",33,120,0.007944915254237288,6.501593757324287E-5,0.005526354693725644,3,3,2.1748586341887777E-4,9606,Homo sapiens,"RPL5;RPL30;RPL32;RPLP1;RPL12;RPS14;RPL7A;RPS3;RPLP2;RPL13;RPL37;RPS10;RPL17;EIF4B;EIF2A;EIF5B;RPS8;RPL22;RPS3A;EIF2S2;RPS26;RPL27A;EIF3J;EIF3G;RPL22L1;RPL26;EIF3C;EIF3A;EIF4G2;EIF4G1","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-156842,"Eukaryotic Translation Elongation",29,102,0.006753177966101695,1.0046843450950416E-4,0.008137943195269837,9,9,6.524575902566333E-4,9606,Homo sapiens,"RPL5;RPL30;RPL32;RPLP1;RPL12;EEF1B2;RPS14;RPL7A;RPS3;RPLP2;RPL13;RPL37;RPS10;RPL17;RPS8;RPL22;RPS3A;EEF2;RPS26;EEF1A1;EEF1G;EEF1D;RPL27A;RPL22L1;RPL26","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910;R-HSA-156908;R-HSA-156909"
