High,Master Protein,P47758,Srprb,Signal recognition particle receptor subunit beta,Signal recognition particle receptor subunit beta OS=Mus musculus OX=10090 GN=Srprb PE=1 SV=1,44,10,151,10,10,29.6,9.28,442.36,10,transport,other membranes;cytoskeleton;ER/Golgi;other cell component,other molecular function,,,0.204,1.07E-15,DOWN,0.517,3.35E-07,DOWN,0.698,8.71E-03,,0.752,4.08E-01,,14115025733,5932364958,10318227073,8898608173,8329753036,6516821905,1806702729,3646915477,7541678678,433441238.8,6047570434,1948078518,2083464108,1660985397,1449824061,5429572323,3827802096,8935825428,5438604375,7702948965,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,22945456463,9275565221,20910530836,15706610078,26732242136,6516821905,6121297353,10145113638,11634765414,1678649848,10298287104,2718967769,2548366842,3411576296,3001799386,9852705901,5999751870,11848012287,15989873312,15718176343
High,Master Protein,Q9D8B4,Ndufa11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 OS=Mus musculus OX=10090 GN=Ndufa11 PE=1 SV=2,19,2,5,2,2,15,8.35,5.15,2,cell organization and biogenesis,other membranes;mitochondrion,,Complex I biogenesis,,19.992,1.07E-15,UP,9.772,1.45E-06,UP,0.5,2.46E-01,,0.035,9.69E-16,DOWN,4772563.5,58854868.88,38753625,33433308,3744245.75,29426920,32533114.5,942931.9375,41849983,1625907.5,7293254,33372392,29770975.5,3733421.5,44005872,3739618,50460612,,,11049244,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,9474093.855,92022688.87,78536638.6,59011917.61,12939221.88,29426920,110206207.9,3586768.323,64563176.92,8350027.924,13764659.94,46578439.94,36399696.02,7732741.252,91112296.41,8749945.282,79092686.51,2059645.896,1971759.037,24615932.75
High,Master Protein,Q9DCF9,Ssr3,Translocon-associated protein subunit gamma,Translocon-associated protein subunit gamma OS=Mus musculus OX=10090 GN=Ssr3 PE=1 SV=1,8,1,31,1,1,21.1,9.61,100.54,1,transport,other membranes;ER/Golgi,,,,11.201,1.07E-15,UP,3.148,1.51E-05,UP,0.589,6.07E-04,,0.09,9.69E-16,DOWN,92706231.5,697790144,339878782,396635507,61161045,148342006,198706736,18328238.25,164908034.8,128905858.1,37076878,768377255.8,462928022.1,37424610,413308362,53768058,538710144,5968331,20992290.13,641995416,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,150690343.1,1091031661,688785554.1,700086927.1,196271757.3,148342006,673120794.1,50973568.35,254408385.9,498651447,63126756.68,1072437776,566002255.5,76815246.57,855737479.5,97559132.6,844382001.1,7911757.563,61718121.58,1310017398
High,Master Protein,P28798,Grn,Progranulin,Progranulin OS=Mus musculus OX=10090 GN=Grn PE=1 SV=2,9,3,19,3,3,63.4,6.8,45.72,3,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;other molecular function,Neutrophil degranulation,,8.39,1.07E-15,UP,3.003,2.27E-03,UP,0.239,6.02E-04,DOWN,0.139,1.08E-07,DOWN,5150013.5,67387678,81656716,23194915,40426940.13,76710343.75,51477485.5,12594897.75,52429256.5,492925.7813,22312060.5,92329754,144175562,,210075912.8,,345738983,13670793.56,29688088.63,2273899.25,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,9167287.344,106877089.1,166247166.3,42088376.84,130747574.9,77984924.16,176397844.3,35028292,80884127.56,5394593.647,37988312.13,130487196.9,177179403.8,2820243.38,435455875.4,6078528.435,542461216.7,18122320.02,87284095.84,6247061.979
High,Master Protein,Q9D8U8,Snx5,Sorting nexin-5,Sorting nexin-5 OS=Mus musculus OX=10090 GN=Snx5 PE=1 SV=1,20,8,32,7,7,46.8,6.62,54.09,8,protein metabolism;other metabolic processes;transport;other biological processes,plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Golgi Associated Vesicle Biogenesis,,0.17,1.07E-15,DOWN,0.563,2.14E-02,DOWN,1.013,9.91E-01,,1.588,2.66E-01,,168382716.5,81615076.88,63870687.13,105290109.3,70435382.75,181805090,9462340.875,26405598.13,98000968.5,58207266.75,118932472,32916609.5,36530720.5,13449443,18429297.5,46999529,35639860.75,222428517,100117889.4,61802327.25,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,274855007.1,128840100.8,131672145.3,185843747.6,226179346.7,182660528.4,36492654.88,77075100.1,151366714.5,225165389.8,206304547.7,54088325.92,46614697.49,34050126.95,42875533.15,88265765.28,59407446,296051231.5,295150768.3,126110127.8
High,Master Protein,Q9R0H0,Acox1,Peroxisomal acyl-coenzyme A oxidase 1,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus OX=10090 GN=Acox1 PE=1 SV=5,7,3,4,3,3,74.6,8.48,9.42,3,cell organization and biogenesis;other metabolic processes;other biological processes,other membranes;cytosol;other cytoplasmic organelle;other cell component,other molecular function,Peroxisomal protein import; Beta-oxidation of very long chain fatty acids; alpha-linolenic acid (ALA) metabolism,PPAR signaling pathway; Eicosanoid metabolism via cyclooxygenases (COX); Eicosanoid metabolism via lipoxygenases (LOX); Omega-3 / omega-6 fatty acid synthesis,71.571,1.07E-15,UP,3.445,3.40E-01,,0.334,3.38E-01,,0.339,4.69E-01,,734126.1055,999979.3125,5195657,,,,596553.125,2279008.5,4918999.5,51019.57031,8383927,85963384.75,74884279.13,235971792,52259390,,29810035,,416015.4688,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1193293.19,1573063.134,12548582.84,2477317.889,4100754.401,2549881.551,3102056.821,7397827.345,9602629.134,1782920.388,15833636.1,119980622.1,91557799.19,486630113.9,108200856.3,2116386.351,46724676.13,389363.4381,2107477.732,1390684.227
High,Master Protein,Q9D868,Ppih,Peptidyl-prolyl cis-trans isomerase H,Peptidyl-prolyl cis-trans isomerase H OS=Mus musculus OX=10090 GN=Ppih PE=1 SV=1,19,2,4,2,2,20.5,8.09,6.8,2,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,other molecular function,mRNA Splicing - Major Pathway,,0.12,1.07E-15,DOWN,0.739,3.81E-01,,0.428,4.51E-04,,1.179,8.78E-01,,235530608,15547254,111303136,62729368,114227480,74254347,117863848,247577999,76565425.5,12420617,192412832,6021140,12558895,122751024,21811964,49824632,14441647,380289344,90481064,20214304.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,382845765,24308950.9,225562748.4,110721329,366567121.8,74254347,399264808.8,688551397.1,118119692.3,48047146.42,327600345.1,8403811.985,15355222.75,251950526,45160748.76,90404006.78,22636044.5,504120346.8,266017727.2,41248099.17
High,Master Protein,Q6PGC1,Dhx29,ATP-dependent RNA helicase DHX29,ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1,5,6,36,6,6,153.9,7.94,54.79,6,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus,translation activity;nucleic acid binding activity;other molecular function,,,10.638,1.07E-15,UP,0.781,6.01E-01,,1.369,8.82E-01,,1.058,9.78E-01,,33960535.21,56991120.56,35782809.5,17741662.42,16334595.16,33860434.75,11052974.75,28233669.97,36664387.25,10956977.47,22615463.88,484016624.3,589709222.8,324747762.1,252173440,27324356.38,24451714.06,40439991.94,23109986.56,25296458.08,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,57521936.72,89565240.38,72516095.66,33760067.07,52419308.67,37958341.97,39413821.08,80205873.61,56861387.26,46072232.55,40729123.15,675550594.7,721012196.9,666555494.3,522114439.9,53588755,42911239.52,55455859.44,69032116.19,51618437.4
High,Master Protein,Q9JHI7,Exosc9,Exosome complex component RRP45,Exosome complex component RRP45 OS=Mus musculus OX=10090 GN=Exosc9 PE=1 SV=1,6,2,3,2,2,48.9,5.11,0,2,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cytoplasmic organelle;other cell component,nucleic acid binding activity;other molecular function,"Major pathway of rRNA processing in the nucleolus and cytosol; KSRP (KHSRP) binds and destabilizes mRNA; Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; mRNA decay by 3' to 5' exoribonuclease; Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",mRNA processing,0.109,1.07E-15,DOWN,0.855,8.15E-01,,2.3,1.36E-01,,2.102,7.01E-02,,40980616,69762912.5,,20995046,21841864,71275832,37118580,22392036,,14089776,46953440,7228607.25,,42192101,2535750.75,34722672.13,4559373.5,115752384,,38175272,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,66612383.92,109077989.9,2279344.111,37057593.13,70092671.41,71275832,125739512.1,62275596.92,861958.8048,54504017.83,79942501.69,10089095.46,1274415.409,86600679.12,5250164.659,63002345.63,7146427.374,153444036.4,602731.2657,77898173.8
High,Master Protein,Q9WU40,Lemd3,Inner nuclear membrane protein Man1,Inner nuclear membrane protein Man1 OS=Mus musculus OX=10090 GN=Lemd3 PE=1 SV=2,3,2,5,2,2,100.2,7.55,0,2,cell organization and biogenesis;developmental processes;other biological processes,other membranes;nucleus,nucleic acid binding activity,RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOD GTPase cycle; RAC1 GTPase cycle; RND1 GTPase cycle; RND2 GTPase cycle; RND3 GTPase cycle; Depolymerisation of the Nuclear Lamina,,40.943,1.07E-15,UP,1.934,8.19E-01,,0.655,3.93E-01,,0.021,9.69E-16,DOWN,59985496,29894056,72852016,,32801325,16683631,423814.9688,36180603.31,513789.8438,1054331.734,2229197,,71803528,57178100,,78462744,59711288,13957588,,172654.3906,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,97756826.79,48588687.45,149317539.8,1676120.259,105262650.4,17172000.7,1655107.488,100623662.3,1137408.84,4078511.657,4546249.453,407153.9108,87924348.07,117758791.3,1913009.336,143513449.8,94480471.08,18964481.51,2226110.622,1244529.067
High,Master Protein,P35230,Reg3b,Regenerating islet-derived protein 3-beta,Regenerating islet-derived protein 3-beta OS=Mus musculus OX=10090 GN=Reg3b PE=1 SV=1,13,3,14,3,3,19.5,7.58,12.26,3,stress response;other biological processes,non-structural extracellular;other cell component,other molecular function,,,0.324,1.07E-15,DOWN,0.931,8.49E-01,,1.192,9.40E-01,,7.91,9.69E-16,UP,63884076,137006552.4,50426079,69632211.25,38253368,1106788371,154128750.9,595282110,504714847.1,55581041.88,936001760.9,295147025.2,1299967628,122489761.5,294183401.3,112125732,66838765.5,2870108840,134782176.6,488915233,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,105550992.4,214216964.4,104048164.4,127269315.7,126121888.4,1106788371,522112482.3,1655568468,778638165,215006263.9,1593628121,414336035.8,1589414713,251414276.2,609094287.5,205426719.4,106883230.4,3804682636,396264662.6,997651144.3
High,Master Protein,Q9Z0Y2,Pla2g1b,Phospholipase A2,Phospholipase A2 OS=Mus musculus OX=10090 GN=Pla2g1b PE=1 SV=1,7,1,9,1,1,16.3,7.42,25.28,1,other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;other cell component,signal transduction activity or receptor binding;other molecular function,Synthesis of PA; Acyl chain remodelling of PS; Acyl chain remodelling of PC; Acyl chain remodelling of PE; Acyl chain remodelling of PG; Acyl chain remodelling of PI,Glycerolipids and glycerophospholipids,19.145,1.07E-15,UP,1.358,8.95E-01,,0.113,3.28E-09,DOWN,0.044,9.69E-16,DOWN,,30153342,25329608,37730976,,4156263.75,9248026,,32273658,,,31536852,34811184,,32536426,,30599446,,,34356716,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,715700.8362,47146339.16,51332030.73,66597575.3,2210887.009,4156263.75,31327768.4,359621.844,49789503.89,943661.223,2267921.585,44016544.18,42562142.97,1802279.42,67365293.65,836752.5476,47962010.24,284777.2996,2260850.985,70106257.12
High,Master Protein,Q9CQY6,Uqcc2,Ubiquinol-cytochrome-c reductase complex assembly factor 2,Ubiquinol-cytochrome-c reductase complex assembly factor 2 OS=Mus musculus OX=10090 GN=Uqcc2 PE=1 SV=1,10,1,1,1,1,16.3,9.19,0,1,cell organization and biogenesis;other biological processes,other membranes;mitochondrion;nucleus,,,,0.01,1.07E-15,DOWN,1.017,9.73E-01,,0.3,1.56E-03,DOWN,1.087,9.59E-01,,1938278.75,125983456,68626504,47108468,,83536504,53563664,19629276,65572628,8560509,67889944,,13075667,,,,,68155624,14797488,85845464,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,3150596.083,196981772.2,139075891.4,83149445.83,2031253.745,83536504,181447377,54591948.67,101160786.2,33114943.43,115588803.8,1825003.634,15987057.73,55907.42259,874486.5879,683853.3859,839314.0693,90348670.95,43505170.61,175171112.7
High,Master Protein,O08796,Eef2k,Eukaryotic elongation factor 2 kinase,Eukaryotic elongation factor 2 kinase OS=Mus musculus OX=10090 GN=Eef2k PE=1 SV=1,2,1,2,1,1,81.7,5.38,1.6,1,protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes,other cell component,nucleic acid binding activity;kinase activity;other molecular function,mTORC1-mediated signalling,Translation factors,31.43,1.07E-15,UP,1.128,9.92E-01,,0.458,4.10E-01,,0.047,1.37E-09,DOWN,20704858,4514941,16621696,15793456,12705813,,,,,1018670.813,,34818876,40821496,32508448,,40037360,2086070,,11944098,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,33654934.57,7059348.17,33684903.84,27876455.55,40774192.88,1120582.144,2489565.144,663512.5939,2163081.597,3940563.152,1444739.261,48597323.34,49910693.9,66724661.89,1594331.935,72645549.39,3269736.018,1537011.458,35116096.82,1566944.357
High,Master Protein,O09049,Reg3g,Regenerating islet-derived protein 3-gamma,Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1,14,2,4,2,2,19.3,8.35,6.96,2,stress response;signal transduction;other biological processes,non-structural extracellular;other cell component,other molecular function,Antimicrobial peptides,,0.076,2.30E-14,DOWN,0.243,6.51E-04,DOWN,3.807,,,30.92,1.10E-07,UP,,,,,,23363322,,,5106146.5,,17141152,,26795088,,,,,12220047,,7428449.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1400455.693,2487720.66,815813.2033,490228.7555,379367.6539,23363322,996829.1368,1716668.809,7877399.612,1660038.107,29184370.15,248676.4572,32761205.89,1369927.506,675853.3961,1477869.031,962883.3731,16199176.83,2418610.737,15158049.18
High,Master Protein,Q9CPQ1,Cox6c,Cytochrome c oxidase subunit 6C,Cytochrome c oxidase subunit 6C OS=Mus musculus OX=10090 GN=Cox6c PE=1 SV=3,62,6,53,6,6,8.5,10.14,79.51,6,other metabolic processes,other membranes;mitochondrion,,,Electron transport chain,0.413,4.48E-14,DOWN,0.726,4.03E-02,,0.468,1.21E-07,,1.575,3.80E-03,,772727144.9,136494654.4,479352563.5,1111987163,345328497.5,1529177600,190967143,539393132,565938536,279484525.3,873719010.3,413549216,736009189.4,836243952,167473664,935140999.5,238638380,1543166656,594607973.8,216934104.5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1259830461,214357893.9,971437873,1962728153,1109761092,1531817816,647443570,1502543516,873391810.1,1081877472,1487860585,579488122.5,899886896.8,1719747502,348356472.5,1699219673,376909551.8,2047554769,1748169780,443458458
High,Master Protein,Q9CQC2,Clps,Colipase,Colipase OS=Mus musculus OX=10090 GN=Clps PE=1 SV=1,59,5,159,5,5,12.4,7.8,510.28,5,other metabolic processes;other biological processes,non-structural extracellular,enzyme regulator activity,Retinoid metabolism and transport; Digestion of dietary lipid,,2.992,1.09E-13,UP,1.442,6.19E-02,,0.299,7.39E-16,DOWN,0.099,9.69E-16,DOWN,661309619.6,2496184409,3381340105,4026923177,184679589.3,1025528982,944687174.5,154650118.5,3132439192,241514638.7,463337256,1426777542,1693829836,73151383.37,1982904753,103326772.3,2651138137,512161988,144873964.7,3178649003,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1074932848,3902915860,6852496657,7107775837,592654810.3,1025528982,3200136009,430105080.4,4832504370,934319838,789916417.3,1992058428,2070973157,150767579.8,4105520410,189508348.7,4155431915,678933772.6,425934898.7,6486160793
High,Master Protein,P09036,Spink1,Serine protease inhibitor Kazal-type 1,Serine protease inhibitor Kazal-type 1 OS=Mus musculus OX=10090 GN=Spink1 PE=1 SV=1,56,4,94,4,4,8.5,8,140.58,4,other biological processes,non-structural extracellular,enzyme regulator activity,,,0.421,1.27E-13,DOWN,0.569,2.24E-05,DOWN,0.792,1.36E-01,,1.442,2.89E-02,,1100237674,400974249,659826132.8,674214880,644821056.8,1166642385,208032004.5,718838296,937926704,231794775.4,605396036,361528720,688135098.8,576442010.6,377533599.5,674223458,485189014.1,1453458624,789965656,455599467,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1788989106,626944367.8,1337178820,1190490308,2070544937,1166910656,704710222.1,1999480652,1447516499,898944666.8,1032310018,506470571.2,842197559.5,1183564915,781667347.1,1225149151,760492215,1928414957,2323238269,929668987.4
High,Master Protein,Q61838,Pzp,Pregnancy zone protein,Pregnancy zone protein OS=Mus musculus OX=10090 GN=Pzp PE=1 SV=3,19,19,151,19,19,165.7,6.68,366.54,19,developmental processes;other biological processes,non-structural extracellular,enzyme regulator activity;other molecular function,,,0.435,1.07E-12,DOWN,0.454,3.63E-10,DOWN,1.386,1.48E-01,,3.332,9.69E-16,UP,4365862351,1090429441,417742389.4,1421492216,1965173474,5520479163,834044034,4730997393,1813128782,842072734.1,2601847884,1947291481,4010655983,3396275318,612979399.1,5123940720,1400812078,6750783863,2851465019,1230983431,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,7102141271,1713415583,851661968,2517024309,6311920457,5523398577,2828771611,13165732973,2799982574,3262766790,4435772763,2717914773,4904272377,6978053935,1274136000,9304905693,2198511774,8955814751,8386075037,2519151451
High,Master Protein,Q3UXZ9,Kdm5a,Lysine-specific demethylase 5A,Lysine-specific demethylase 5A OS=Mus musculus OX=10090 GN=Kdm5a PE=1 SV=2,0,1,2,1,1,192.1,6.39,1.76,1,cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,HDMs demethylate histones,,0.03,1.43E-12,DOWN,0.081,1.58E-07,DOWN,0.063,1.69E-05,DOWN,1.128,9.59E-01,,,,15117436,11097119,,2910583.5,,329925.7813,,542737.9375,1165021.625,,247700.375,386117.125,267507.3125,,,,10582989,10832277,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,1691595.86,889907.5528,30636427.11,19587121.69,1127487.55,2910583.5,1610202.38,917572.8802,1128446.651,2099493.862,1983555.267,1031537.953,302852.6342,792518.1361,553862.5742,1814010.852,319349.2648,1955311.892,31114385.23,22103695.72
