#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Igf1r	Ptpn1	10090.ENSMUSP00000005671	10090.ENSMUSP00000029053	0	0	0	0	0	0.923	0.676	0	0.973
Igf1r	Ins2	10090.ENSMUSP00000005671	10090.ENSMUSP00000101553	0	0	0	0	0	0.602	0.892	0	0.955
Igf2r	Necap2	10090.ENSMUSP00000024599	10090.ENSMUSP00000030760	0	0	0	0	0	0	0.720	0	0.720
Igf2r	Snx5	10090.ENSMUSP00000024599	10090.ENSMUSP00000105657	0	0	0	0	0	0	0.900	0	0.900
Ins2	Ptpn1	10090.ENSMUSP00000101553	10090.ENSMUSP00000029053	0	0	0	0	0	0	0.585	0	0.585
Ins2	Kras	10090.ENSMUSP00000101553	10090.ENSMUSP00000032399	0	0	0	0	0	0	0.402	0	0.402
Ins2	Insr	10090.ENSMUSP00000101553	10090.ENSMUSP00000088837	0	0	0	0	0	0.835	0.913	0	0.985
Insr	Raf1	10090.ENSMUSP00000088837	10090.ENSMUSP00000000451	0	0	0	0.588	0	0.087	0.496	0	0.520
Insr	Ptpn1	10090.ENSMUSP00000088837	10090.ENSMUSP00000029053	0	0	0	0	0	0.950	0.932	0	0.996
Insr	Kras	10090.ENSMUSP00000088837	10090.ENSMUSP00000032399	0	0	0	0	0	0.137	0.363	0	0.426
Insr	Mapk1	10090.ENSMUSP00000088837	10090.ENSMUSP00000065983	0	0	0	0.568	0	0.147	0.420	0	0.484
Kras	Raf1	10090.ENSMUSP00000032399	10090.ENSMUSP00000000451	0	0	0	0	0	0.948	0.930	0	0.996
Kras	Mtor	10090.ENSMUSP00000032399	10090.ENSMUSP00000099510	0	0	0	0	0	0.298	0.249	0	0.450
Kras	Mapk1	10090.ENSMUSP00000032399	10090.ENSMUSP00000065983	0	0	0	0	0	0.621	0.823	0	0.930
Mapk1	Raf1	10090.ENSMUSP00000065983	10090.ENSMUSP00000000451	0	0	0	0.587	0	0.561	0.864	0	0.938
Mapk1	Ptpn1	10090.ENSMUSP00000065983	10090.ENSMUSP00000029053	0	0	0	0	0	0.267	0.233	0	0.413
Mapk1	Pla2g1b	10090.ENSMUSP00000065983	10090.ENSMUSP00000031495	0	0	0	0	0	0	0.864	0	0.864
Mtor	Rbm8a	10090.ENSMUSP00000099510	10090.ENSMUSP00000044548	0	0	0	0	0	0.401	0	0	0.400
Ncbp1	Wdr33	10090.ENSMUSP00000030014	10090.ENSMUSP00000025264	0	0	0	0	0	0	0.600	0	0.600
Ndufa11	mt-Nd3	10090.ENSMUSP00000002452	10090.ENSMUSP00000080998	0	0	0	0	0	0.879	0.800	0	0.974
Ndufa11	mt-Nd4	10090.ENSMUSP00000002452	10090.ENSMUSP00000081000	0	0	0	0	0	0.963	0.720	0	0.989
Pla2g1b	Pld4	10090.ENSMUSP00000031495	10090.ENSMUSP00000067002	0	0	0	0	0	0	0.650	0	0.650
Ppie	Rbm8a	10090.ENSMUSP00000030404	10090.ENSMUSP00000044548	0	0	0	0.666	0	0.672	0	0	0.672
Ube4a	Ubxn4	10090.ENSMUSP00000113346	10090.ENSMUSP00000027592	0	0	0	0	0	0.672	0	0	0.672
mt-Nd3	mt-Nd4	10090.ENSMUSP00000080998	10090.ENSMUSP00000081000	0	0	0	0	0	0.937	0.720	0	0.981
